Strategy,Model,SampleIndex,BERT_P,BERT_R,BERT_F1,ROUGE1,ROUGE2,ROUGEL
baseline,gemini-2.5-flash,1,0.8465175628662109,0.8285054564476013,0.8374146223068237,0.20895522388059704,0.030303030303030307,0.10447761194029852
baseline,gemini-2.5-flash,3,0.8139909505844116,0.847346305847168,0.8303338289260864,0.3168316831683168,0.10101010101010101,0.17821782178217824
baseline,gemini-2.5-flash,4,0.7836055755615234,0.834638237953186,0.8083171844482422,0.017241379310344827,0.0,0.017241379310344827
baseline,gemini-2.5-flash,5,0.8867998719215393,0.8765279054641724,0.8816339373588562,0.6813186813186813,0.48708487084870844,0.5641025641025641
baseline,gemini-2.0-flash,1,0.8437433242797852,0.8261527419090271,0.8348553776741028,0.25,0.047619047619047616,0.15625
baseline,gemini-2.0-flash,3,0.8795561790466309,0.8717464804649353,0.8756338357925415,0.30952380952380953,0.0975609756097561,0.21428571428571425
baseline,gemini-2.0-flash,4,0.8022858500480652,0.8399364352226257,0.8206795454025269,0.02666666666666666,0.0,0.02666666666666666
baseline,gemini-2.0-flash,5,0.9037431478500366,0.8304535150527954,0.865549623966217,0.44976076555023925,0.2995169082125604,0.4019138755980862
global_rerank,gemini-2.5-flash,1,0.858328104019165,0.833057165145874,0.8455038666725159,0.2302158273381295,0.058394160583941604,0.17266187050359713
global_rerank,gemini-2.5-flash,3,0.9061420559883118,0.9045449495315552,0.9053428173065186,0.5102040816326531,0.37500000000000006,0.4693877551020408
global_rerank,gemini-2.5-flash,4,0.7938868999481201,0.8573830723762512,0.8244141936302185,0.025,0.0,0.025
global_rerank,gemini-2.5-flash,5,0.7371842265129089,0.7598769664764404,0.7483586072921753,0.049645390070921995,0.0,0.03546099290780142
global_rerank,gemini-2.0-flash,1,0.8472990393638611,0.8345333337783813,0.840867817401886,0.23776223776223776,0.05673758865248227,0.1258741258741259
global_rerank,gemini-2.0-flash,3,0.8727155923843384,0.8920625448226929,0.8822830319404602,0.4285714285714286,0.25,0.3673469387755102
global_rerank,gemini-2.0-flash,4,0.8157534599304199,0.8709947466850281,0.8424695134162903,0.05,0.0,0.05
global_rerank,gemini-2.0-flash,5,0.8758491277694702,0.8777501583099365,0.8767986297607422,0.6956521739130435,0.4713804713804714,0.5484949832775919
product_rerank,gemini-2.5-flash,1,0.8425508737564087,0.8451927900314331,0.8438697457313538,0.2896551724137931,0.055944055944055944,0.12413793103448276
product_rerank,gemini-2.5-flash,3,0.86551833152771,0.8682411909103394,0.8668776154518127,0.35955056179775285,0.11494252873563217,0.20224719101123598
product_rerank,gemini-2.5-flash,4,0.8015209436416626,0.8685357570648193,0.8336837887763977,0.02898550724637681,0.0,0.02898550724637681
product_rerank,gemini-2.5-flash,5,0.832250714302063,0.8754128813743591,0.8532863855361938,0.5584725536992841,0.30695443645083936,0.4105011933174224
product_rerank,gemini-2.0-flash,1,0.8491222858428955,0.8292675018310547,0.8390774726867676,0.22764227642276422,0.03305785123966942,0.13008130081300812
product_rerank,gemini-2.0-flash,3,0.8667811751365662,0.8625774383544922,0.8646741509437561,0.3181818181818182,0.11627906976744184,0.20454545454545456
product_rerank,gemini-2.0-flash,4,0.7782639861106873,0.8363057971000671,0.8062416315078735,0.018348623853211007,0.0,0.018348623853211007
product_rerank,gemini-2.0-flash,5,0.8442875146865845,0.8687936067581177,0.8563652634620667,0.6056782334384858,0.3238095238095238,0.35962145110410093
